ID;code;Perioden;TotaleOppervlakte_1;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;TotaalAgrarischTerrein_25;IJsselmeerMarkermeer_33;TotaalBuitenwater_42
6279;GM0732;2015JJ00;;;;;;;;
6287;GM0476;2015JJ00;;;;;;;;
6295;GM0637;2015JJ00;3705;1219;90;13;53;700;;
6303;GM0638;2015JJ00;2196;100;6;3;19;1753;;
6311;GM0056;2015JJ00;12837;422;10;6;11;11395;;
6319;GM0136;2015JJ00;;;;;;;;
6327;GM1892;2015JJ00;6405;495;24;7;7;4134;;
6335;GM0137;2015JJ00;;;;;;;;
6343;GM0879;2015JJ00;12121;290;30;0;20;9561;;
6351;GM0301;2015JJ00;4293;645;21;37;82;1959;;
6359;GM1896;2015JJ00;8786;300;11;12;14;6773;;
6367;GM0192;2015JJ00;;;;;;;;
6375;GM0138;2015JJ00;;;;;;;;
6383;GM0642;2015JJ00;2277;528;20;13;20;546;;
6391;GM0193;2015JJ00;11936;1486;103;77;185;6521;;
